month,region,average_rainfall_mm_per_hour
2022-07,Swatch_of_No_Ground,0.5299500226974487
2022-07,Middle_Ground,0.46894001960754395
2022-07,South_Patches,0.5860694646835327
2022-07,South_of_South_Patches,0.6012500524520874
2022-08,Swatch_of_No_Ground,0.706849992275238
2022-08,Middle_Ground,0.6363599896430969
2022-08,South_Patches,0.5222083926200867
2022-08,South_of_South_Patches,0.5582500100135803
2022-09,Swatch_of_No_Ground,0.5306500196456909
2022-09,Middle_Ground,0.5576200485229492
2022-09,South_Patches,0.6215000152587891
2022-09,South_of_South_Patches,0.5807499885559082
2022-10,Swatch_of_No_Ground,0.7937000393867493
2022-10,Middle_Ground,0.4679400324821472
2022-10,South_Patches,0.4477500319480896
2022-10,South_of_South_Patches,0.49900004267692566
2022-11,Swatch_of_No_Ground,0.002099999925121665
2022-11,Middle_Ground,0.0010999999940395355
2022-11,South_Patches,0.0005277778254821897
2022-11,South_of_South_Patches,0.0006666667177341878
2022-12,Swatch_of_No_Ground,0.0026499999221414328
2022-12,Middle_Ground,0.0026000002399086952
2022-12,South_Patches,0.00027777778450399637
2022-12,South_of_South_Patches,0.0018333335174247622
2023-01,Swatch_of_No_Ground,0.0009500000742264092
2023-01,Middle_Ground,0.0007800000021234155
2023-01,South_Patches,0.0
2023-01,South_of_South_Patches,0.0
2023-02,Swatch_of_No_Ground,0.00020000000949949026
2023-02,Middle_Ground,8.000000525498763e-05
2023-02,South_Patches,2.777777990559116e-05
2023-02,South_of_South_Patches,0.0
2023-03,Swatch_of_No_Ground,0.10730000585317612
2023-03,Middle_Ground,0.07058000564575195
2023-03,South_Patches,0.04519444704055786
2023-03,South_of_South_Patches,0.0312500037252903
2023-04,Swatch_of_No_Ground,0.02775000035762787
2023-04,Middle_Ground,0.014379999600350857
2023-04,South_Patches,0.012916667386889458
2023-04,South_of_South_Patches,0.007250000257045031
2023-05,Swatch_of_No_Ground,0.17524999380111694
2023-05,Middle_Ground,0.36288002133369446
2023-05,South_Patches,0.4522361159324646
2023-05,South_of_South_Patches,0.4270833730697632
2023-06,Swatch_of_No_Ground,0.7584000825881958
2023-06,Middle_Ground,0.9970199465751648
2023-06,South_Patches,1.1279863119125366
2023-06,South_of_South_Patches,0.8910834789276123
2023-07,Swatch_of_No_Ground,0.4618500769138336
2023-07,Middle_Ground,0.49862000346183777
2023-07,South_Patches,0.52376389503479
2023-07,South_of_South_Patches,0.5446667075157166
2023-08,Swatch_of_No_Ground,1.2332500219345093
2023-08,Middle_Ground,1.244460105895996
2023-08,South_Patches,1.261138916015625
2023-08,South_of_South_Patches,1.3080832958221436
2023-09,Swatch_of_No_Ground,0.5686500668525696
2023-09,Middle_Ground,0.5932000279426575
2023-09,South_Patches,0.8186250329017639
2023-09,South_of_South_Patches,0.8990834355354309
2023-10,Swatch_of_No_Ground,0.3476000130176544
2023-10,Middle_Ground,0.4363600015640259
2023-10,South_Patches,0.43722227215766907
2023-10,South_of_South_Patches,0.3269166946411133
2023-11,Swatch_of_No_Ground,0.41769999265670776
2023-11,Middle_Ground,0.3977000117301941
2023-11,South_Patches,0.2326388955116272
2023-11,South_of_South_Patches,0.22666668891906738
2023-12,Swatch_of_No_Ground,0.02460000291466713
2023-12,Middle_Ground,0.04198000580072403
2023-12,South_Patches,0.033847223967313766
2023-12,South_of_South_Patches,0.06783334165811539
2024-01,Swatch_of_No_Ground,0.05714999511837959
2024-01,Middle_Ground,0.02102000266313553
2024-01,South_Patches,0.005791666451841593
2024-01,South_of_South_Patches,0.0011666667414829135
2024-02,Swatch_of_No_Ground,0.004499999340623617
2024-02,Middle_Ground,0.0013600001111626625
2024-02,South_Patches,0.0012222224613651633
2024-02,South_of_South_Patches,0.0002500000118743628
2024-03,Swatch_of_No_Ground,0.011650001630187035
2024-03,Middle_Ground,0.011540001258254051
2024-03,South_Patches,0.03020833618938923
2024-03,South_of_South_Patches,0.055916670709848404
2024-04,Swatch_of_No_Ground,0.0006000000284984708
2024-04,Middle_Ground,0.00107999995816499
2024-04,South_Patches,0.0016944445669651031
2024-04,South_of_South_Patches,0.0026666668709367514
2024-05,Swatch_of_No_Ground,0.7526500821113586
2024-05,Middle_Ground,0.7560999989509583
2024-05,South_Patches,0.627833366394043
