month,region,sst_mean,salinity_mean
2021-09,Middle_Ground,29.62182636,16.46231002
2021-10,Middle_Ground,29.73985317,15.56205311
2021-11,Middle_Ground,27.18370734,19.85105792
2021-12,Middle_Ground,24.1653798,22.04453666
2022-01,Middle_Ground,22.8959131,24.41537489
2022-02,Middle_Ground,23.78778602,28.47787758
2022-03,Middle_Ground,27.06950238,28.84893179
2022-04,Middle_Ground,29.0010611,30.41838526
2022-05,Middle_Ground,30.31451201,28.80851432
2022-06,Middle_Ground,30.00224662,26.67202303
2022-07,Middle_Ground,29.9578868,22.83752882
2022-08,Middle_Ground,29.93468334,20.46262146
2022-09,Middle_Ground,29.91470076,16.40244679
2022-10,Middle_Ground,29.70706221,19.06925587
2022-11,Middle_Ground,26.96483798,18.07979102
2022-12,Middle_Ground,24.81362111,21.69177399
2023-01,Middle_Ground,23.38517645,25.11712454
2023-02,Middle_Ground,25.02542896,27.81253494
2023-03,Middle_Ground,27.51396456,28.9902364
2023-04,Middle_Ground,29.9018642,30.79532798
2023-05,Middle_Ground,30.49405475,30.27115302
2023-06,Middle_Ground,30.46066281,27.75484322
2023-07,Middle_Ground,29.7022262,26.04508286
2023-08,Middle_Ground,29.54137957,20.03039329
2023-09,Middle_Ground,30.05708604,17.68085932
2023-10,Middle_Ground,29.62407064,14.52109806
2023-11,Middle_Ground,27.6312871,17.71945741
2023-12,Middle_Ground,24.7564529,20.77436021
2024-01,Middle_Ground,23.07232887,25.28198318
2024-02,Middle_Ground,24.27668315,27.17892374
2024-03,Middle_Ground,27.16660758,30.04950256
2024-04,Middle_Ground,29.91832542,31.44689816
2024-05,Middle_Ground,31.0626005,31.27155367
2024-06,Middle_Ground,30.49105924,27.58532855
2024-07,Middle_Ground,29.75145021,23.66880607
2024-08,Middle_Ground,29.06226714,18.51442546
2024-09,Middle_Ground,29.97344654,17.76501998
2024-10,Middle_Ground,29.99856562,16.55453069
2024-11,Middle_Ground,27.64899723,21.21472665
2024-12,Middle_Ground,24.60173814,22.415943
2025-01,Middle_Ground,23.41157262,25.14157847
2025-02,Middle_Ground,24.4751192,26.57958716
2025-03,Middle_Ground,27.90331501,28.76009554
2025-04,Middle_Ground,29.42266726,30.67387996
2025-05,Middle_Ground,30.58484027,29.88409615
2025-06,Middle_Ground,29.88654861,25.04376274
2025-07,Middle_Ground,29.56398205,19.81451396
2025-08,Middle_Ground,29.56051702,16.00783855
2025-09,Middle_Ground,30.05855093,18.83520238
2025-10,Middle_Ground,29.96245988,16.87049508
2025-11,Middle_Ground,27.42493502,18.39446424
2025-12,Middle_Ground,24.04269539,21.81703682
2026-01,Middle_Ground,22.95027361,25.6831842
2026-02,Middle_Ground,24.1115921,26.32655742
2026-03,Middle_Ground,27.07303314,28.40717636
2026-04,Middle_Ground,28.94689779,30.72562449
2020-01,South_Patches,22.01010717,21.60487129
2020-02,South_Patches,22.65450495,25.16703333
2020-03,South_Patches,26.41541295,27.40745259
2020-04,South_Patches,29.64501923,29.72495884
2020-05,South_Patches,30.09004569,27.6587309
2020-06,South_Patches,29.83110002,23.00112084
2020-07,South_Patches,29.82738453,13.70780468
2020-08,South_Patches,29.41704264,17.60712689
2020-09,South_Patches,30.1451721,10.48548012
2020-10,South_Patches,30.09868853,14.89583476
2020-11,South_Patches,27.81433481,19.09901035
2020-12,South_Patches,24.55655607,18.31315873
2021-01,South_Patches,23.15426496,21.16550186
2021-02,South_Patches,23.26596936,23.5898645
2021-03,South_Patches,27.37979563,26.41689114
2021-04,South_Patches,29.67093444,27.92926362
2021-05,South_Patches,30.97225478,27.74364172
2021-06,South_Patches,29.7071305,22.86015307
2021-07,South_Patches,29.33783878,16.93967321
2021-08,South_Patches,29.60513432,11.65291021
2021-09,South_Patches,29.74911953,15.56093019
2021-10,South_Patches,30.05187868,10.5601811
2021-11,South_Patches,27.45672891,19.13407889
2021-12,South_Patches,24.51330856,20.33104258
2022-01,South_Patches,23.01057272,21.12161069
2022-02,South_Patches,22.87863954,23.97660338
2022-03,South_Patches,26.87548115,25.99912049
2022-04,South_Patches,29.58119005,27.97420906
2022-05,South_Patches,30.45741973,25.95930771
2022-06,South_Patches,29.6970827,21.26607422
2022-07,South_Patches,29.96217424,17.98981512
2022-08,South_Patches,30.00183277,18.94751369
2022-09,South_Patches,30.05942286,14.27367333
